anidbid, title_type, language, title
1	main	x-jat	Seikai no Monshou
1	official	en	Crest of the Stars
1	official	fr	Crest of the Stars
1	official	pl	Crest of the Stars
1	official	ja	星界の紋章
1	short	en	CotS
1	short	x-jat	SnM
1	synonym	cs	Hvězdný erb
1	synonym	zh-Hans	星界之纹章
2	main	x-jat	3x3 Eyes
2	official	ja	3×3 EYES
2	official	de	3x3 Augen (OVA 1)
2	official	fr	3x3 Eyes
2	official	en	3x3 Eyes
2	official	it	3x3 Occhi
2	official	cs	3x3 Oči
2	official	sv	3x3 Ögon
2	official	ca	3x3 Ulls
2	short	x-jat	3x3
2	synonym	ja	サザンアイズ
2	synonym	en	3x3 Eyes - Immortals
2	synonym	ru	3x3 глаза
2	synonym	x-jat	Sazan Eyes
2	synonym	zh-x-nan	三隻眼
3	main	x-jat	3x3 Eyes: Seima Densetsu
3	official	ja	3×3 EYES -聖魔伝説-
3	official	pl	3*3 Oczy
3	official	de	3x3 Augen (OVA 2)
3	official	fr	3x3 Eyes - La légende du démon divin
3	official	en	3x3 Eyes: Legend of the Divine Demon
3	official	it	3x3 Occhi - La Leggenda del Demone Divino
3	official	es	3x3 Ojos
3	synonym	sv	3x3 Ögon (1995)
3	synonym	ru	3х3 глаза: Сказание Сэймы
3	synonym	x-jat	Shin 3x3 Eyes
4	main	x-jat	Seikai no Senki
4	official	ko	성계의 전기
4	official	en	Banner of the Stars
4	official	ja	星界の戦旗
4	short	en	BFotS
4	short	en	BotS
4	short	en	BotS1
4	short	x-jat	SnS
4	short	x-jat	SnS1
4	synonym	en	Battle Flag of the Stars
4	synonym	zh-Hans	星界的战旗
5	main	x-jat	Seikai no Senki II
5	official	en	Banner of the Stars II
5	official	ja	星界の戦旗II
5	short	en	BFotS2
5	short	en	BotS2
5	short	x-jat	SnS2
5	synonym	en	Banner of the Stars 2
5	synonym	en	Battle Flag of the Stars 2
5	synonym	x-jat	Seikai no Senki 2
5	synonym	zh-Hans	星界的战旗2
6	main	x-jat	Seikai no Danshou
6	official	en	Crest of the Stars: Birth
6	official	ja	星界の断章
6	short	x-jat	SnD
6	synonym	en	Crest of the Stars: Fragment Birth of Stars
6	synonym	en	Lost Chapter of the Stars
6	synonym	x-jat	Seikai no Monshou Birth
6	synonym	zh-Hans	星界的断章
7	main	x-jat	Mononoke Hime
7	official	ko	모노노케 히메
7	official	hu	A vadon hercegnője
7	official	pl	Księżniczka Mononoke
7	official	es	La Princesa Mononoke
7	official	it	La Principessa Mononoke
7	official	tr	Prenses Mononoke
7	official	sl	Princesa Mononoke
7	official	pt-BR	Princesa Mononoke
7	official	pt	Princesa Mononoke
7	official	lv	Princese Mononoke
7	official	lt	Princesė Mononokė
7	official	fr	Princesse Mononoké
7	official	en	Princess Mononoke
7	official	hr	Princeza Mononoke
7	official	cs	Princezna Mononoke
7	official	sk	Princezná Mononoke
7	official	fi	Prinsessa Mononoke
7	official	da	Prinsesse Mononoke
7	official	ro	Prinţesa Mononoke
7	official	et	Printsess Mononoke
7	official	de	Prinzessin Mononoke
7	official	ar	الأميرة مونونوكي
7	official	fa	شاهزاده مونونوکه
7	official	he	הנסיכה מונונוקי
7	official	el	Πριγκίπισσα Μονονόκε
7	official	mn	Мононокэ Гүнж
7	official	bg	Принцеса Мононоке
7	official	ru	Принцесса Мононоке
