setting, value
code	nZEDb
title	nZEDb
strapline	A great usenet indexer
metatitle	An indexer
metadescription	A usenet indexing website
metakeywords	usenet,nzbs,cms,community
footer	Usenet binary indexer.
email	""
google_adsense_search	""
google_analytics_acc	""
google_adsense_acc	""
tandc	"<p>All information within this database is indexed by an automated process, without any human intervention. It is obtained from global Usenet newsgroups over which this site has no control. We cannot prevent that you might find obscene or objectionable material by using this service. If you do come across obscene, incorrect or objectionable results, let us know by using the contact form.</p>"
registerstatus	0
style	alpha
home_link	/
dereferrer_link	""
nzbpath	/your/path/to/nzbs/
coverspath	/your/path/to/covers/
lookuptvrage	1
lookupimdb	1
lookupnfo	1
lookupmusic	1
lookupgames	1
lookupbooks	1
lookupanidb	0
maxaddprocessed	25
maxnfoprocessed	100
maxrageprocessed	75
maximdbprocessed	100
maxanidbprocessed	100
maxmusicprocessed	150
maxgamesprocessed	150
maxbooksprocessed	300
maxnzbsprocessed	1000
maxpartrepair	15000
binarythreads	1
backfillthreads	1
postthreads	1
releasethreads	1
nzbthreads	1
amazonpubkey	AKIAIPDNG5EU7LB4AD3Q
amazonprivkey	B58mVwyj+T/MEucxWugJ3GQ0CcW2kQq16qq/1WpS
amazonassociatetag	n01369-20
tmdbkey	9a4e16adddcd1e86da19bcaf5ff3c2a3
rottentomatokey	qxbxyngtujprvw7jxam2m6na
rottentomatoquality	profile
trakttvkey	""
fanarttvkey	""
compressedheaders	0
partrepair	1
maxmssgs	20000
newgroupscanmethod	0
newgroupdaystoscan	1
newgroupmsgstoscan	100000
sabintegrationtype	2
saburl	""
sabapikey	""
sabapikeytype	1
sabpriority	0
storeuserips	0
minfilestoformrelease	1
minsizetoformrelease	0
maxsizetoformrelease	0
maxsizetopostprocess	100
releaseretentiondays	0
checkpasswordedrar	0
showpasswordedrelease	0
deletepasswordedrelease	0
releasecompletion	0
unrarpath	""
mediainfopath	""
ffmpegpath	""
tmpunrarpath	""
adheader	""
adbrowse	""
addetail	""
grabstatus	1
nzbsplitlevel	1
categorizeforeign	1
menuposition	2
crossposttime	2
maxpartsprocessed	3
catlanguage	0
amazonsleep	1000
passchkattempts	1
catwebdl	0
safebackfilldate	2012-06-24
processjpg	0
hashcheck	1
processvideos	0
imdburl	0
imdblanguage	en
partretentionhours	72
postdelay	300
processaudiosample	0
predbversion	1
deletepossiblerelease	0
miscotherretentionhours	0
grabnzbs	0
alternate_nntp	0
postthreadsamazon	1
postthreadsnon	1
currentppticket	0
nextppticket	0
segmentstodownload	2
ffmpeg_duration	5
ffmpeg_image_time	5
request_url	http://predb_irc.nzedb.com/predb_irc.php?reqid=[REQUEST_ID]&group=[GROUP_NM]
lookup_reqids	1
request_hours	1
grabnzbthreads	1
loggingopt	0
logfile	/var/www/nZEDb/resources/logs/failed-login.log
zippath	""
lookuppar2	0
delaytime	2
addpar2	0
fixnamethreads	1
fixnamesperrun	10
tablepergroup	0
nntpproxy	0
releasesthreads	1
replacenzbs	0
anidbkey	""
safepartrepair	0
nntpretries	10
maxgrabnzbs	100
showdroppedyencparts	0
book_reqids	8010
showbacks	0
lastpretime	0
sqlpatch	208
