id, releasetitle, country
1	Fernwood 2Night	US
2	America 2Night	US
3	Mary Hartman, Mary Hartman	US
4	Sara (1985)	US
5	Buffalo Bill	US
6	The Rousters	US
7	Paper Dolls	US
8	Marcus Welby, M.D.	US
9	Too Close for Comfort	US
10	Bob & Carol & Ted & Alice	US
11	USA High	US
12	The Colbys	US
13	The Betty White Show	US
14	The Andy Williams Show (1958)	US
15	The Courtship of Eddie's Father	US
16	Forever Fernwood	US
17	Seven Brides for Seven Brothers	US
18	Fallen Angels	US
19	Another Day	US
20	The Defenders (1961)	US
21	Trapper John, M.D.	US
22	Dr. Kildare	US
23	Empire (1962)	US
24	Fifteen	US
25	Swans Crossing	US
26	Santa Barbara	US
27	NYPD	US
28	Social Studies	US
29	Winnetka Road	US
30	Cupid (1998)	US
31	Pokémon the Series	AJ
32	Second Chance (1987)	US
33	Home Free	US
34	The Trouble with Larry	US
35	Day by Day	US
36	It's a Living	US
37	Phyllis	US
38	Julia	US
39	Bachelor Father	US
40	Nasty Boys	US
41	Working it Out	US
42	I'm Dickens--He's Fenster	US
43	December Bride	US
44	Pete and Gladys	US
45	House Calls	US
46	Apple Pie	US
47	Blansky's Beauties	US
48	True Colors	US
49	Fish (US)	US
50	Burke's Law (1994)	US
51	Three's a Crowd (1984)	US
52	Babes	US
53	Going Places	US
54	Amen	US
55	That's My Mama	US
56	Undressed	US
57	Ready or Not	CA
58	Katts and Dog	CA
59	Zoe, Duncan, Jack & Jane	US
60	Throb	US
61	CatDog	US
62	Head Start	AU
63	Grace & Favour	UK
64	Keeping Up Appearances	UK
65	Bagdad Cafe	US
66	Dot Comedy	US
67	Black Tie Affair	US
68	My World and Welcome to It	US
69	Who Wants to Be a Millionaire (US)	US
70	Emerald Point N.A.S.	US
71	James at 15	US
72	The United States Steel Hour	US
73	The Beachcombers	CA
74	The Good Guys (1968)	US
75	Tales of the Unexpected	UK
76	The Kids from Room 402	US
77	Jesse Hawkes	US
78	Lock-Up	US
79	Thieftakers	UK
80	Harper Valley	US
81	West Point Story	US
82	The Millionaire	US
83	The Burning Zone	US
84	Cain's Hundred	US
85	Talk Of The Town	US
86	Life with Lucy	US
87	Broken Arrow	US
88	Whispering Smith	US
89	Search for Tomorrow	US
90	The Edge of Night	US
91	Texas	US
92	Password	US
93	The Mike Douglas Show	US
15871	His & Hers	US
95	Bare Essence	US
96	Lillie	UK
97	The Adventurer (UK)	UK
98	Capitol	US
99	Here Come the Brides	US
100	Love of Life	US
101	The Doctors (1963)	US
102	Generations	US
103	Arli$$	US
104	Breaking Away	US
105	Bat Masterson	US
106	Sigmund and the Sea Monsters	US
107	Buddies	US
16584	Un paso adelante (DE)	ES
109	Stoney Burke	US
110	Rituals	US
111	The City (1995)	US
112	That Was the Week That Was	UK
113	Shelley	UK
114	Brookside	UK
115	Dolly	US
116	Ben Casey	US
117	Match Game PM	US
118	Love, Sidney	US
119	The Debbie Reynolds Show	US
120	All That Glitters	US
121	Hail To the Chief	US
122	Watching	UK
123	Sit Down, Shut Up (AU)	AU
124	Love is a Four Letter Word	AU
125	Flat Chat	AU
126	Water Rats	AU
127	Baby Boom	US
128	The Leslie Uggams Show	US
129	Good Sports	US
130	Spellbinder	AU
131	Normal Life	US
132	Beyond Chance	US
133	The Paul Williams Comedy Show	US
134	Loves Me, Loves Me Not	US
135	Jennifer Slept Here	US
136	You Take the Kids	US
137	Climax!	US
138	Checking In	US
139	Fish Police	US
11071	Notorious	US
141	Hullabaloo	US
142	Pryor's Place	US
143	Hee-Haw	US
144	The Demon Headmaster	UK
145	The Silver Surfer	US
146	Chained	UK
147	Trust Me (UK)	UK
148	Burnside	UK
149	87th Precinct	US
150	Tribeca	US
151	Space Cadets (1997)	UK
152	The Glen Campbell Goodtime Hour	US
153	Scorch	US
154	Chromiumblue.com	US
155	Happily Ever After: Fairy Tales for Every Child	US
156	Grange Hill	UK
157	Minder	UK
158	Rumpole of the Bailey	UK
159	The Joey Bishop Show	US
160	She Wolf of London	UK
161	Nakia	US
162	The Cowboys	US
163	The Weakest Link (US)	US
164	The Ford Show	US
165	The Life of Riley (1953)	US
166	Shindig	US
167	Supertrain	US
168	City	US
169	Savannah	US
170	Filthy Rich (US)	US
171	Girls on Top	UK
172	The Mary Tyler Moore Hour	US
173	The Marshall Chronicles	US
174	Out of the Blue (US)	US
175	The Paul Lynde Show	US
176	It's a Business?	US
177	She TV	US
178	Lidsville	US
179	Gilligan's Planet	US
180	Wonderbug	""
9466	Jennings	UK
182	Space Rangers	US
183	Widget, the World Watcher	US
184	Project G.eeK.eR.	US
185	Histeria!	US
186	The Law & Harry McGraw	US
187	The Thorns	US
188	Bruno the Kid	US
189	Destiny	US
190	The Paper Chase	US
191	A New Kind of Family	US
192	The Ray Stevens Show	US
193	Solid Gold	US
194	A Country Practice	AU
195	Police Rescue	AU
196	We Got It Made	US
197	Morton & Hayes	US
198	Mike Hammer (1983)	US
199	Hello, Larry	US
200	Heartbreak High	AU
201	The Marsha Warfield Show	US
202	If Not for You	US
203	Hazel	US
204	The Hello Girls	UK
205	Open House (US)	US
206	Manchester Prep	US
207	PB&J Otter	US
208	Sapphire & Steel	UK
209	Man of the People	US
210	Midnight Caller	US
211	Hey Hey It's Saturday	AU
212	Rendez-View	US
213	Comedy on the Road	US
214	Friday Night Videos	US
215	Insight	US
216	The Governor & J.J.	US
217	Beacon Hill	US
218	Ball Four	US
219	Karen (1964)	US
220	Karen (1975)	US
221	Family Passions	CA
222	Frontier Doctor	US
223	The Philco Television Playhouse	US
224	Ripcord	US
225	Pacific Drive	AU
226	Jessie	US
227	Sin City Spectacular	US
228	The Porter Wagoner Show	US
229	Strike Force (1981)	US
230	Executive Suite	US
231	Pink Lady and Jeff	US
232	Mirror Mirror	AU
233	Big Sky	AU
234	Crash Palace	AU
235	The Scariest Places on Earth	US
236	Days Like These	UK
237	Jack Van Impe	US
239	Galaxy High School	US
240	The Iron Horse	US
241	Way Out	US
242	Hot L Baltimore	US
243	The Busy World of Richard Scarry	US
244	Spyder Games	US
245	The Midnight Special	US
246	Intimate Portrait	US
247	Out of the Box	US
248	Boot Camp	US
249	The Tripods	UK
250	Jason King	UK
251	Tenko	UK
252	Cluedo (UK)	UK
253	Dangerous Women	US
254	Out of Control	US
255	Never Too Young	US
256	The Oz Kids	US
